Chr	Sites	Strand	Gene	Transcript	NonCR	AGcov	Acov	Genecov	Ratio	NormeRatio	Pvalue	P_adjust	Sample
chr10	13319255	-	SEPHS1	NM_001195604.2	0.028669999999999998	144	22	118.57862595419847	0.15278	0.1483997974	2e-10	3.029111589734927e-10	m6A.sites
chr10	13319264	-	SEPHS1	NM_001195604.2	0.028669999999999998	184	34	118.57862595419847	0.18478	0.17948235740000001	6.9e-18	1.3550809542932243e-17	m6A.sites
chr10	13344876	-	SEPHS1	NM_001195604.2	0.028669999999999998	380	262	118.57862595419847	0.68947	0.6697028951	1.799999999999999e-305	4.060406751231783e-304	m6A.sites
chr10	13344907	-	SEPHS1	NM_001195604.2	0.028669999999999998	206	45	118.57862595419847	0.21845	0.2121870385	2.5e-26	6.195553277744507e-26	m6A.sites
chr10	13345117	-	ELSE	ELSE	0.0212	26	9	48.03321326411697	0.34615	0.33881162000000004	2e-09	2.9041352876076338e-09	m6A.sites
chr10	13346006	-	ELSE	ELSE	0.0212	19	6	48.03321326411697	0.31579	0.30909525200000004	1.9e-06	2.3749475738758156e-06	m6A.sites
chr10	13348702	+	ELSE	ELSE	0.0212	39	7	48.03321326411697	0.17949	0.17568481200000002	1.6e-05	1.8880837085337297e-05	m6A.sites
chr10	16757277	+	ELSE	ELSE	0.0212	49	13	48.03321326411697	0.26531	0.259685428	2.2e-11	3.4600257276089406e-11	m6A.sites
chr10	19051593	+	UBE2V2P1	UBE2V2P1	0.02165	73	11	43.72	0.15068	0.14741777800000003	5.1e-07	6.59114764141311e-07	m6A.sites
chr10	19052438	+	ELSE	ELSE	0.0212	362	133	48.03321326411697	0.3674	0.35961112	2.0999999999999993e-123	1.70725366480278e-122	m6A.sites
chr10	19052671	+	ELSE	ELSE	0.0212	59	19	48.03321326411697	0.32203000000000004	0.31520296400000003	9.9e-18	1.9359070338058887e-17	m6A.sites
chr10	19053366	+	ELSE	ELSE	0.0212	407	45	48.03321326411697	0.11057	0.108225916	4.5e-19	9.151879891119429e-19	m6A.sites
chr10	19053375	+	ELSE	ELSE	0.0212	303	182	48.03321326411697	0.6006600000000001	0.587926008	2.999999999999999e-219	4.5307201010668143e-218	m6A.sites
chr10	19053450	+	ELSE	ELSE	0.0212	211	26	48.03321326411697	0.12322000000000001	0.12060773600000001	9.2e-13	1.5235201132839255e-12	m6A.sites
chr10	19053532	+	ELSE	ELSE	0.0212	92	28	48.03321326411697	0.30435	0.29789778	1.2e-24	2.84932964037827e-24	m6A.sites
chr10	24275615	+	ELSE	ELSE	0.0212	35	11	48.03321326411697	0.31429	0.307627052	1e-10	1.5324393231540567e-10	m6A.sites
chr10	26047280	+	ELSE	ELSE	0.0212	114	16	48.03321326411697	0.14035	0.13737458	3e-09	4.3232073614208504e-09	m6A.sites
chr10	27812466	-	ARMC4	XM_024448052.1	0.01693	23	16	32.80614657210402	0.69565	0.6838726455	1e-23	2.31796490396527e-23	m6A.sites
chr10	27876777	-	ELSE	ELSE	0.0212	23	7	48.03321326411697	0.30435	0.29789778	3.5e-07	4.5639051497412403e-07	m6A.sites
chr10	27876778	-	ELSE	ELSE	0.0212	23	6	48.03321326411697	0.26087	0.25533955599999997	6.7e-06	8.112286318774689e-06	m6A.sites
chr10	29250486	+	ELSE	ELSE	0.0212	41	40	48.03321326411697	0.9756100000000001	0.954927068	4.5999999999999993e-66	2.173286639587221e-65	m6A.sites
chr10	32305823	+	ELSE	ELSE	0.0212	32	11	48.03321326411697	0.34375	0.3364625	3.3e-11	5.155522238517723e-11	m6A.sites
chr10	32346907	-	EPC1	XR_001747215.1	0.02613	47	13	64.16381156316916	0.2766	0.269372442	1.6000000000000002e-10	2.4325349386013257e-10	m6A.sites
chr10	32378766	-	EPC1	NM_001282391.2	0.02613	34	7	64.16381156316916	0.20588	0.2005003556	2.4e-05	2.798530368058265e-05	m6A.sites
chr10	45594456	-	MARCHF8	XR_246519.3	0.02395	54	6	107.17403846153844	0.11110999999999999	0.10844891549999998	0.002	0.0020306706491324926	m6A.sites
chr10	45594585	-	MARCHF8	XR_246519.3	0.02395	54	9	107.17403846153844	0.16667	0.1626782535	5.2e-06	6.338689356688042e-06	m6A.sites
chr10	45596909	+	ELSE	ELSE	0.0212	15	5	48.03321326411697	0.33333	0.32626340400000003	1.1e-05	1.3127074182528062e-05	m6A.sites
chr10	47016500	-	ELSE	ELSE	0.0212	119	27	48.03321326411697	0.22689	0.222079932	4.0000000000000004e-20	8.382753683882467e-20	m6A.sites
chr10	47020552	+	ELSE	ELSE	0.0212	43	5	48.03321326411697	0.11628	0.113814864	0.002	0.0020306706491324926	m6A.sites
chr10	47032144	+	ELSE	ELSE	0.0212	15	8	48.03321326411697	0.53333	0.522023404	2.3e-10	3.4745763068843993e-10	m6A.sites
chr10	47099000	-	ELSE	ELSE	0.0212	147	54	48.03321326411697	0.36735	0.35956218	3.9e-51	1.5212233984700719e-50	m6A.sites
chr10	47099001	-	ELSE	ELSE	0.0212	147	121	48.03321326411697	0.8231299999999999	0.8056796439999999	9.499999999999997e-175	1.1082680943345076e-173	m6A.sites
chr10	50411246	+	ELSE	ELSE	0.0212	45	42	48.03321326411697	0.9333299999999999	0.9135434039999999	6.799999999999999e-67	3.2469758565595595e-66	m6A.sites
chr10	54786155	+	ELSE	ELSE	0.0212	59	38	48.03321326411697	0.64407	0.630415716	8.499999999999999e-49	3.2017881838074395e-48	m6A.sites
chr10	62194583	-	RTKN2	XR_001747053.1	0.02273	31	10	40.94334277620396	0.32258000000000003	0.31524775660000004	1.1e-09	1.6145213328331228e-09	m6A.sites
chr10	62197939	-	RTKN2	XR_001747053.1	0.02273	55	41	40.94334277620396	0.74545	0.7285059214999999	1.3e-55	5.389009401248362e-55	m6A.sites
chr10	62197948	-	RTKN2	XR_001747053.1	0.02273	53	43	40.94334277620396	0.8113199999999999	0.7928786963999999	3.4e-61	1.5150626436662593e-60	m6A.sites
chr10	62198008	-	RTKN2	XR_001747053.1	0.02273	48	43	40.94334277620396	0.8958299999999999	0.8754677840999999	3.2999999999999997e-65	1.5436083213773314e-64	m6A.sites
chr10	62198055	-	RTKN2	XR_001747053.1	0.02273	45	9	40.94334277620396	0.2	0.19545400000000002	6.8e-07	8.725363005897541e-07	m6A.sites
chr10	62198205	-	RTKN2	XR_001747053.1	0.02273	28	20	40.94334277620396	0.71429	0.6980541883	3.5e-27	8.853333254963735e-27	m6A.sites
chr10	62198232	-	RTKN2	XR_001747053.1	0.02273	27	17	40.94334277620396	0.62963	0.6153185101	7.8e-22	1.71697666567778e-21	m6A.sites
chr10	62198280	-	RTKN2	XR_001747053.1	0.02273	29	24	40.94334277620396	0.8275899999999999	0.8087788792999999	3.7999999999999996e-35	1.1392270289097873e-34	m6A.sites
chr10	62198381	-	RTKN2	XR_001747053.1	0.02273	28	18	40.94334277620396	0.64286	0.6282477921999999	2.8000000000000003e-23	6.417301649855678e-23	m6A.sites
chr10	68527488	-	SLC25A16	NM_001324317.2	0.017490000000000002	60	31	41.87878787878788	0.51667	0.5076334416999999	2.2999999999999998e-38	7.312741215756966e-38	m6A.sites
chr10	68560323	+	ELSE	ELSE	0.0212	17	6	48.03321326411697	0.35294000000000003	0.34545767200000005	9.2e-07	1.1712153823398906e-06	m6A.sites
chr10	68560337	+	TET1	NM_030625.3	0.03985	46	13	75.87462537462538	0.28261	0.2713479915	1.8999999999999998e-08	2.6391423628593927e-08	m6A.sites
chr10	68560526	+	TET1	XR_001747211.1	0.03985	237	66	75.87462537462538	0.27848	0.26738257200000004	2e-36	6.143758565555047e-36	m6A.sites
chr10	68560568	+	TET1	XR_001747211.1	0.03985	217	63	75.87462537462538	0.29031999999999997	0.278750748	5e-36	1.5244920225578824e-35	m6A.sites
chr10	68572277	+	TET1	XR_001747211.1	0.03985	125	22	75.87462537462538	0.17600000000000002	0.16898640000000004	5.1e-09	7.2773221307833616e-09	m6A.sites
chr10	68572289	+	TET1	XR_001747211.1	0.03985	131	28	75.87462537462538	0.21374	0.20522246100000002	3.2e-13	5.386713396126044e-13	m6A.sites
chr10	68572296	+	TET1	XR_001747211.1	0.03985	132	109	75.87462537462538	0.82576	0.7928534640000001	3.299999999999999e-128	2.7865270964957023e-127	m6A.sites
chr10	68572465	+	TET1	XR_001747211.1	0.03985	20	14	75.87462537462538	0.7	0.672105	7.9e-16	1.4519624691442385e-15	m6A.sites
chr10	68572527	+	TET1	XR_001747211.1	0.03985	37	11	75.87462537462538	0.2973	0.28545259500000003	1.3e-07	1.7320373982229651e-07	m6A.sites
chr10	68572586	+	TET1	XR_001747211.1	0.03985	71	15	75.87462537462538	0.21126999999999999	0.2028508905	1.1e-07	1.4711539417746066e-07	m6A.sites
chr10	68572597	+	TET1	XR_001747211.1	0.03985	92	68	75.87462537462538	0.7391300000000001	0.7096756695	2.1e-74	1.0928867874331873e-73	m6A.sites
chr10	68572680	+	TET1	XR_001747211.1	0.03985	171	23	75.87462537462538	0.1345	0.12914017500000002	3.9e-07	5.071418816021659e-07	m6A.sites
chr10	68572849	+	TET1	XR_001747211.1	0.03985	53	50	75.87462537462538	0.9434	0.9058055100000001	2.1999999999999998e-66	1.0434300954396172e-65	m6A.sites
chr10	68572999	+	TET1	XR_001747211.1	0.03985	213	33	75.87462537462538	0.15492999999999998	0.1487560395	3.2e-11	5.0021997181338716e-11	m6A.sites
chr10	68573016	+	TET1	XR_001747211.1	0.03985	69	55	75.87462537462538	0.7971	0.7653355650000001	9.299999999999999e-64	4.2787357280307884e-63	m6A.sites
chr10	68573032	+	TET1	XR_001747211.1	0.03985	53	46	75.87462537462538	0.86792	0.8333333880000001	4.9e-57	2.070044370275842e-56	m6A.sites
chr10	68573075	+	TET1	XR_001747211.1	0.03985	135	38	75.87462537462538	0.28148	0.270263022	7.5e-22	1.6516994514266999e-21	m6A.sites
chr10	68573217	+	TET1	XR_001747211.1	0.03985	108	20	75.87462537462538	0.18519000000000002	0.17781017850000003	1e-08	1.406600949156088e-08	m6A.sites
chr10	68573261	+	TET1	XR_001747211.1	0.03985	183	46	75.87462537462538	0.25137	0.2413529055	7.9e-24	1.83760591090404e-23	m6A.sites
chr10	68573267	+	TET1	XR_001747211.1	0.03985	200	42	75.87462537462538	0.21	0.2016315	9.5e-19	1.915211036679627e-18	m6A.sites
chr10	68573276	+	TET1	XR_001747211.1	0.03985	242	185	75.87462537462538	0.76446	0.733996269	1.699999999999999e-204	2.3682785187103443e-203	m6A.sites
chr10	68573436	+	TET1	XR_001747211.1	0.03985	176	64	75.87462537462538	0.36364	0.349148946	2.3999999999999998e-43	8.305664382900703e-43	m6A.sites
chr10	68573469	+	TET1	XR_001747211.1	0.03985	226	83	75.87462537462538	0.36726	0.352624689	4.099999999999999e-56	1.710584391662627e-55	m6A.sites
chr10	68573569	+	TET1	XR_001747211.1	0.03985	75	14	75.87462537462538	0.18667	0.17923120050000002	1.4e-06	1.762998466706462e-06	m6A.sites
chr10	68573590	+	TET1	XR_001747211.1	0.03985	88	74	75.87462537462538	0.84091	0.8073997365000001	9.899999999999998e-89	5.961971677255043e-88	m6A.sites
chr10	68573621	+	TET1	XR_001747211.1	0.03985	284	46	75.87462537462538	0.16197	0.15551549550000002	9e-16	1.6511868424193852e-15	m6A.sites
chr10	68573715	+	TET1	XR_001747211.1	0.03985	175	141	75.87462537462538	0.80571	0.7736024565	2.2999999999999993e-162	2.471839476575766e-161	m6A.sites
chr10	68573760	+	TET1	XR_001747211.1	0.03985	124	25	75.87462537462538	0.20160999999999998	0.19357584149999998	2.2999999999999998e-11	3.614261719234954e-11	m6A.sites
chr10	68573783	+	TET1	XR_001747211.1	0.03985	66	14	75.87462537462538	0.21211999999999998	0.20366701799999998	2.8e-07	3.6695812117816164e-07	m6A.sites
chr10	68573904	+	TET1	XR_001747211.1	0.03985	305	273	75.87462537462538	0.8950799999999999	0.859411062	0.0	0.0	m6A.sites
chr10	68573963	+	TET1	XR_001747211.1	0.03985	113	12	75.87462537462538	0.10619	0.10195832850000001	0.002	0.0020306706491324926	m6A.sites
chr10	68574025	+	TET1	XR_001747211.1	0.03985	121	20	75.87462537462538	0.16529000000000002	0.15870319350000003	7.4e-08	9.988173452681893e-08	m6A.sites
chr10	70551227	+	PALD1	XR_001747093.1	0.02508	21	11	214.7494623655914	0.52381	0.5106728452	6.9e-13	1.1477011734149621e-12	m6A.sites
chr10	70551489	+	PALD1	XR_001747093.1	0.02508	19	5	214.7494623655914	0.26316	0.2565599472	8.6e-05	9.633509635907421e-05	m6A.sites
chr10	70554827	+	ELSE	ELSE	0.0212	34	12	48.03321326411697	0.35294000000000003	0.34545767200000005	2.9e-12	4.717945790647564e-12	m6A.sites
chr10	70566723	+	PALD1	XR_001747093.1	0.02508	408	254	214.7494623655914	0.62255	0.6069364460000001	5.899999999999997e-293	1.2722277783345018e-291	m6A.sites
chr10	70566860	+	PALD1	XR_001747093.1	0.02508	136	93	214.7494623655914	0.68382	0.6666697944	2.3999999999999998e-114	1.8173902027027023e-113	m6A.sites
chr10	70566892	+	PALD1	XR_001747093.1	0.02508	21	15	214.7494623655914	0.71429	0.6963756068	4.6e-20	9.62479361344211e-20	m6A.sites
chr10	70567251	+	PALD1	XR_001747093.1	0.02508	81	25	214.7494623655914	0.30864	0.30089930880000004	1.3000000000000001e-20	2.764894784181551e-20	m6A.sites
chr10	70567305	+	PALD1	XR_001747093.1	0.02508	592	527	214.7494623655914	0.8902	0.867873784	0.0	0.0	m6A.sites
chr10	70567406	+	PALD1	XR_001747093.1	0.02508	54	8	214.7494623655914	0.14815	0.144434398	5.7999999999999994e-05	6.578143101857951e-05	m6A.sites
chr10	70567654	+	PALD1	XR_001747093.1	0.02508	142	83	214.7494623655914	0.5845100000000001	0.5698504892000001	1.4999999999999996e-93	9.453154287722583e-93	m6A.sites
chr10	70567887	+	PALD1	XR_001747093.1	0.02508	387	242	214.7494623655914	0.62532	0.6096369744	6.499999999999997e-280	1.3275090167046311e-278	m6A.sites
chr10	70568229	+	PALD1	XR_001747093.1	0.02508	67	39	214.7494623655914	0.58209	0.5674911828	1.0999999999999999e-44	3.8916329617572587e-44	m6A.sites
chr10	70589943	+	ELSE	ELSE	0.0212	23	6	48.03321326411697	0.26087	0.25533955599999997	6.7e-06	8.112286318774689e-06	m6A.sites
chr10	72626094	-	MICU1	XR_945586.2	0.030160000000000003	118	22	326.1174496644296	0.18644000000000002	0.18081696960000002	9e-12	1.4368255876068375e-11	m6A.sites
chr10	72692143	+	MCU	NR_073062.1	0.01695	110	38	118.43032159264929	0.34545	0.3395946225	7.7e-39	2.469966607534175e-38	m6A.sites
chr10	73340459	-	ELSE	ELSE	0.0212	34	15	48.03321326411697	0.44118	0.431826984	1e-16	1.8922823926693283e-16	m6A.sites
chr10	73341466	-	CFAP70	XR_001747016.1	0.01795	37	5	24.85483870967742	0.13514	0.132714237	0.0005	0.0005306641347505487	m6A.sites
chr10	73375977	-	ANXA7	NM_001320879.2	0.0163	506	144	414.2987012987013	0.28458	0.279941346	6.699999999999999e-131	5.7711832993074725e-130	m6A.sites
chr10	77925838	+	ELSE	ELSE	0.0212	22	11	48.03321326411697	0.5	0.4894	2.2e-13	3.724225879539304e-13	m6A.sites
chr10	77925916	+	ELSE	ELSE	0.0212	29	21	48.03321326411697	0.72414	0.708788232	2.6e-29	6.910563502062799e-29	m6A.sites
chr10	77925949	+	ELSE	ELSE	0.0212	32	22	48.03321326411697	0.6875	0.672925	8e-30	2.1522742617088846e-29	m6A.sites
chr10	77926485	+	ELSE	ELSE	0.0212	15	9	48.03321326411697	0.6	0.58728	3.9e-12	6.315410781074796e-12	m6A.sites
chr10	77927385	+	DLG5-AS1	NR_024585.1	0.0528	16	12	22.05696202531645	0.75	0.7104	6.999999999999999e-13	1.1641455478525663e-12	m6A.sites
chr10	77927418	+	DLG5-AS1	NR_024585.1	0.0528	22	19	22.05696202531645	0.86364	0.818039808	7.1e-22	1.5644253868130293e-21	m6A.sites
chr10	77927434	+	DLG5-AS1	NR_024585.1	0.0528	33	10	22.05696202531645	0.30303	0.28703001600000005	5.0999999999999995e-06	6.219892198870978e-06	m6A.sites
chr10	77927798	+	DLG5-AS1	NR_024585.1	0.0528	18	12	22.05696202531645	0.66667	0.6314698240000001	6.499999999999999e-12	1.0434750333858055e-11	m6A.sites
chr10	77927820	+	DLG5-AS1	NR_024585.1	0.0528	19	8	22.05696202531645	0.42105	0.39881856	2.7000000000000004e-06	3.3459841277154514e-06	m6A.sites
chr10	77927849	+	DLG5-AS1	NR_024585.1	0.0528	29	25	22.05696202531645	0.8620700000000001	0.8165527040000001	2.2e-28	5.724298963711774e-28	m6A.sites
chr10	77927855	+	DLG5-AS1	NR_024585.1	0.0528	32	11	22.05696202531645	0.34375	0.3256	4.1e-07	5.325923488822752e-07	m6A.sites
chr10	77953912	+	ELSE	ELSE	0.0212	4468	1739	48.03321326411697	0.38921	0.380958748	0.0	0.0	m6A.sites
chr10	77975391	-	POLR3A	NM_007055.4	0.02045	230	29	194.328	0.12609	0.12351145950000002	1e-14	1.770947697625612e-14	m6A.sites
chr10	77976880	-	POLR3A	NM_007055.4	0.02045	65	8	194.328	0.12308	0.120563014	5.5e-05	6.250017163347539e-05	m6A.sites
chr10	77977185	-	POLR3A	NM_007055.4	0.02045	569	442	194.328	0.7768	0.7609144400000001	0.0	0.0	m6A.sites
chr10	77977221	-	POLR3A	NM_007055.4	0.02045	447	56	194.328	0.12528	0.12271802400000001	9.100000000000001e-27	2.278669312138527e-26	m6A.sites
chr10	77977287	-	POLR3A	NM_007055.4	0.02045	476	229	194.328	0.48108999999999996	0.4712517095	4.499999999999997e-248	7.888435845213845e-247	m6A.sites
chr10	77977445	-	POLR3A	NM_007055.4	0.02045	423	106	194.328	0.25059000000000003	0.24546543450000005	1.6e-80	8.878852898700226e-80	m6A.sites
chr10	77977461	-	POLR3A	NM_007055.4	0.02045	234	69	194.328	0.29486999999999997	0.28883990849999996	2.3e-58	9.881238270175298e-58	m6A.sites
chr10	77977545	-	POLR3A	NM_007055.4	0.02045	399	46	194.328	0.11529	0.1129323195	8.5e-21	1.8180766783960556e-20	m6A.sites
chr10	77977590	-	POLR3A	NM_007055.4	0.02045	398	58	194.328	0.14573	0.1427498215	3.5e-31	9.68888217056258e-31	m6A.sites
chr10	81137167	-	RPA2P2	RPA2P2	0.014159999999999999	50	5	86.19117647058823	0.1	0.098584	0.0007099999999999999	0.0007457561187531117	m6A.sites
chr10	81144816	+	ELSE	ELSE	0.0212	716	132	48.03321326411697	0.18436	0.180451568	7.799999999999998e-80	4.2996111281893623e-79	m6A.sites
chr10	81189710	+	ELSE	ELSE	0.0212	18	9	48.03321326411697	0.5	0.4894	3.5e-11	5.4625446975796215e-11	m6A.sites
chr10	81195533	+	ELSE	ELSE	0.0212	17	6	48.03321326411697	0.35294000000000003	0.34545767200000005	9.2e-07	1.1712153823398906e-06	m6A.sites
chr10	82732096	+	ELSE	ELSE	0.0212	48	15	48.03321326411697	0.3125	0.305875	4.4e-14	7.634706598608189e-14	m6A.sites
chr10	82779200	+	ELSE	ELSE	0.0212	25	15	48.03321326411697	0.6	0.58728	2.1e-19	4.313562816804605e-19	m6A.sites
chr10	84371152	+	CCSER2	XR_001747113.1	0.02582	53	30	54.77579203899269	0.56604	0.5514248472000001	8e-34	2.336584637519851e-33	m6A.sites
chr10	84371173	+	CCSER2	XR_001747113.1	0.02582	21	9	54.77579203899269	0.42857	0.41750432260000003	1.1e-09	1.6145213328331228e-09	m6A.sites
chr10	84371487	+	CCSER2	XR_001747113.1	0.02582	16	8	54.77579203899269	0.5	0.48709	2.0999999999999998e-09	3.0466898602318006e-09	m6A.sites
chr10	84371533	+	CCSER2	XR_001747113.1	0.02582	17	11	54.77579203899269	0.6470600000000001	0.6303529108000001	3.6000000000000004e-14	6.265119213225067e-14	m6A.sites
chr10	84371577	+	CCSER2	XR_001747113.1	0.02582	48	10	54.77579203899269	0.20833000000000002	0.2029509194	3.5e-07	4.5639051497412403e-07	m6A.sites
chr10	84371624	+	CCSER2	XR_001747113.1	0.02582	143	80	54.77579203899269	0.5594399999999999	0.5449952591999999	4.799999999999998e-87	2.8409594014743085e-86	m6A.sites
chr10	84371889	+	CCSER2	XR_001747113.1	0.02582	59	15	54.77579203899269	0.25424	0.24767552320000003	2.1e-11	3.304804984897574e-11	m6A.sites
chr10	84371904	+	CCSER2	XR_001747113.1	0.02582	47	44	54.77579203899269	0.9361700000000001	0.9119980906000001	1.9999999999999997e-66	9.492004675886101e-66	m6A.sites
chr10	84371919	+	CCSER2	XR_001747113.1	0.02582	46	17	54.77579203899269	0.36956999999999995	0.3600277026	8.6e-16	1.5787160674981658e-15	m6A.sites
chr10	84372049	+	CCSER2	XR_001747113.1	0.02582	121	101	54.77579203899269	0.8347100000000001	0.8131577878000001	8.499999999999997e-139	7.738941778793262e-138	m6A.sites
chr10	84372125	+	CCSER2	XR_001747113.1	0.02582	55	29	54.77579203899269	0.52727	0.5136558886	1.5999999999999999e-31	4.460188363928437e-31	m6A.sites
chr10	84372143	+	CCSER2	XR_001747113.1	0.02582	28	9	54.77579203899269	0.32143	0.3131306774	2.2999999999999998e-08	3.182937056640662e-08	m6A.sites
chr10	84372150	+	CCSER2	XR_001747113.1	0.02582	15	11	54.77579203899269	0.73333	0.7143954194000001	4.2e-15	7.538174993744264e-15	m6A.sites
chr10	84373701	+	CCSER2	XR_001747113.1	0.02582	141	39	54.77579203899269	0.2766	0.26945818800000004	8.4e-29	2.2074762154834456e-28	m6A.sites
chr10	87342274	+	ELSE	ELSE	0.0212	70	8	48.03321326411697	0.11429	0.11186705200000001	0.00011999999999999999	0.0001329236376365452	m6A.sites
chr10	87342279	+	ELSE	ELSE	0.0212	95	11	48.03321326411697	0.11579	0.113335252	5.9e-06	7.169230986424522e-06	m6A.sites
chr10	87342577	+	LINC00863	NR_029408.1	0.05342	46	36	50.35057471264368	0.78261	0.7408029738	3.8e-37	1.182935057795524e-36	m6A.sites
chr10	87342840	+	LINC00863	NR_029408.1	0.05342	16	8	50.35057471264368	0.5	0.47329	5.8e-07	7.470866905312055e-07	m6A.sites
chr10	87342910	+	LINC00863	NR_029408.1	0.05342	157	34	50.35057471264368	0.21656	0.2049913648	2.6000000000000002e-12	4.2370260977567746e-12	m6A.sites
chr10	87342923	+	LINC00863	NR_029408.1	0.05342	168	18	50.35057471264368	0.10714000000000001	0.10141658120000001	0.004	0.004008644016486971	m6A.sites
chr10	87343110	+	LINC00863	NR_029408.1	0.05342	25	6	50.35057471264368	0.24	0.2271792	0.002	0.0020306706491324926	m6A.sites
chr10	87343200	+	LINC00863	NR_029408.1	0.05342	177	51	50.35057471264368	0.28814	0.2727475612	1.4000000000000002e-23	3.2331351420966777e-23	m6A.sites
chr10	87343217	+	LINC00863	NR_029408.1	0.05342	161	86	50.35057471264368	0.5341600000000001	0.5056251728000001	8.199999999999998e-65	3.8193597125416674e-64	m6A.sites
chr10	87356016	+	LINC00863	NR_135292.1	0.05342	17	6	50.35057471264368	0.35294000000000003	0.3340859452	0.00016999999999999999	0.0001863230410333727	m6A.sites
chr10	87357143	+	LINC00863	NR_135292.1	0.05342	51	39	50.35057471264368	0.76471	0.7238591918	2e-39	6.48061198367642e-39	m6A.sites
chr10	87358312	+	NUTM2D	NM_001009610.1	0.028730000000000002	25	14	26.83333333333333	0.56	0.5439112	8.6e-16	1.5787160674981658e-15	m6A.sites
chr10	87394009	+	ELSE	ELSE	0.0212	38	7	48.03321326411697	0.18420999999999998	0.180304748	1.4000000000000001e-05	1.6592344128662703e-05	m6A.sites
chr10	87504393	-	LOC112268064	XR_002957094.1	0.02632	21	7	25.951219512195124	0.33333	0.32455675440000004	7.3e-07	9.349650312189373e-07	m6A.sites
chr10	87504526	-	LOC112268064	XR_002957094.1	0.02632	22	6	25.951219512195124	0.27273000000000003	0.2655517464	1.7e-05	2.0031558369018806e-05	m6A.sites
chr10	87504546	-	LOC112268064	XR_002957094.1	0.02632	17	16	25.951219512195124	0.9411799999999999	0.9164081423999999	8.799999999999999e-25	2.098097770686522e-24	m6A.sites
chr10	87504875	+	MINPP1	NM_001178117.1	0.04754	73	31	176.07889546351086	0.42466000000000004	0.40447166360000003	5.2e-22	1.1500748262960983e-21	m6A.sites
